Neighborhood,STD
Allegheny Center,0.9454668677824013
Allegheny West,0.2654225377297546
Allentown,0.49622900130369824
Arlington,0.41276369222082426
Arlington Heights,0.44492095840616885
Banksville,1.0000734674036282
Bedford Dwellings,0.30572800070633405
Beechview,0.525074012826042
Beltzhoover,0.39961311345935857
Bloomfield,0.6819703917477808
Bluff,0.6361725488516596
Bon Air,0.48662808550144443
Brighton Heights,0.4716920463443588
Brookline,0.5087681006923016
California-Kirkbride,0.49279878595841753
Carrick,0.6486888407058754
Central Business District,0.8906684303766986
Central Lawrenceville,0.4551235182090827
Central Northside,0.5453162825637146
Central Oakland,0.748963843232899
Chartiers City,0.2820781081681119
Chateau,0.0
Crafton Heights,0.5562820963347133
Crawford-Roberts,0.33343685084073843
Duquesne Heights,0.3953436046454752
East Allegheny,0.582475898708906
East Carnegie,0.439238256601446
East Hills,0.23631077993387753
East Liberty,0.7427981105833692
Elliott,0.6990654084499198
Esplen,0.6737477507242118
Fairywood,0.7530489256668215
Fineview,0.43412213187446186
Friendship,1.215615020104955
Garfield,0.4003365793943539
Glen Hazel,0.45235338917908086
Greenfield,0.5728112609733925
Hays,0.7668534221890091
Hazelwood,0.6926769304932393
Highland Park,0.69136237381308
Homewood North,0.221872603963418
Homewood South,0.31683235197039067
Homewood West,0.4631202792641748
Knoxville,0.7608103997224571
Larimer,0.3244863245580664
Lincoln Place,0.0
Lincoln-Lemington-Belmar,0.4565144900575121
Lower Lawrenceville,0.4475170853367056
Manchester,0.5289227103616808
Marshall-Shadeland,0.5266868202173701
Middle Hill,0.3357635061228595
Morningside,0.5320247631377859
Mount Oliver Borough,0.7000235809392357
Mount Washington,0.395422913800343
Mt. Oliver,0.5000313739551662
New Homestead,0.33913381052485375
North Oakland,1.1255831235180593
North Shore,0.9119012254900281
Northview Heights,0.17153109545072487
Oakwood,0.5045832838055003
Overbrook,0.4569817774803965
Perry North,0.4845193426253816
Perry South,0.5189578671349341
Point Breeze,0.6999057537755915
Point Breeze North,0.5986826836712775
Polish Hill,0.27078710288275076
Regent Square,0.413571845459591
Ridgemont,0.32023117271176327
Shadyside,1.274492463095256
Sheraden,0.6320258143193905
South Oakland,1.006477889924523
South Shore,0.0
South Side Flats,0.5545999651922119
South Side Slopes,0.24576818110095788
Spring Garden,0.33719238800939116
Spring Hill-City View,0.6812527291681764
Squirrel Hill North,1.0748995163637542
Squirrel Hill South,1.046912686273226
St. Clair,0.4945695422754627
Stanton Heights,0.5564019168361782
Strip District,0.8655607156805394
Summer Hill,0.3792580555279301
Swisshelm Park,0.5457953511403609
Terrace Village,0.7832323363112915
Troy Hill,0.5594520552206501
Upper Hill,0.7518024479344583
Upper Lawrenceville,0.5154297393547287
West End,0.3598015435350837
West Oakland,0.846928545617899
Westwood,0.9848949866477793
Windgap,0.48491205123062403
